Setting Arguments.. :  Namespace(batch_size=64, cuda=True, dataset='voc', debug=False, eval_epoch=10, gamma=0.1, lr=0.001, momentum=0.9, multi_scale=False, no_warm_up=False, num_workers=16, resume=None, save_folder='weights/', start_epoch=0, tfboard=False, version='yolo', weight_decay=0.0005, wp_epoch=1)
----------------------------------------------------------
use cuda
Training model on: VOC0712
The dataset size: 16551
----------------------------------------------------------
Let us train yolo on the voc dataset ......
[Epoch 2/150][Iter 130/258][lr 0.001000][Loss: obj 6.52 || cls 2.02 || bbox 6.34 || total 14.88 || size 416 || time: 3.74]
[Epoch 2/150][Iter 140/258][lr 0.001000][Loss: obj 5.49 || cls 2.06 || bbox 7.56 || total 15.11 || size 416 || time: 3.72]
[Epoch 2/150][Iter 150/258][lr 0.001000][Loss: obj 6.52 || cls 2.35 || bbox 8.02 || total 16.89 || size 416 || time: 3.75]
[Epoch 2/150][Iter 160/258][lr 0.001000][Loss: obj 6.70 || cls 2.37 || bbox 7.12 || total 16.18 || size 416 || time: 3.78]
[Epoch 2/150][Iter 170/258][lr 0.001000][Loss: obj 6.02 || cls 2.39 || bbox 7.83 || total 16.25 || size 416 || time: 3.82]
[Epoch 2/150][Iter 180/258][lr 0.001000][Loss: obj 5.95 || cls 2.38 || bbox 6.31 || total 14.63 || size 416 || time: 3.78]
[Epoch 2/150][Iter 190/258][lr 0.001000][Loss: obj 6.25 || cls 2.38 || bbox 7.26 || total 15.88 || size 416 || time: 3.74]
[Epoch 2/150][Iter 200/258][lr 0.001000][Loss: obj 5.23 || cls 2.05 || bbox 5.50 || total 12.77 || size 416 || time: 3.72]
[Epoch 2/150][Iter 210/258][lr 0.001000][Loss: obj 6.39 || cls 2.61 || bbox 7.80 || total 16.79 || size 416 || time: 3.78]
[Epoch 2/150][Iter 220/258][lr 0.001000][Loss: obj 6.06 || cls 1.92 || bbox 7.60 || total 15.58 || size 416 || time: 3.76]
[Epoch 2/150][Iter 230/258][lr 0.001000][Loss: obj 6.55 || cls 2.07 || bbox 7.05 || total 15.67 || size 416 || time: 3.71]
[Epoch 2/150][Iter 240/258][lr 0.001000][Loss: obj 5.83 || cls 2.11 || bbox 6.17 || total 14.10 || size 416 || time: 3.70]
[Epoch 2/150][Iter 250/258][lr 0.001000][Loss: obj 5.24 || cls 1.61 || bbox 5.14 || total 11.99 || size 416 || time: 3.70]
[Epoch 3/150][Iter 0/258][lr 0.001000][Loss: obj 5.35 || cls 1.73 || bbox 6.00 || total 13.07 || size 416 || time: 9.82]
[Epoch 3/150][Iter 10/258][lr 0.001000][Loss: obj 5.46 || cls 2.00 || bbox 5.70 || total 13.15 || size 416 || time: 4.64]
[Epoch 3/150][Iter 20/258][lr 0.001000][Loss: obj 6.88 || cls 2.31 || bbox 7.03 || total 16.22 || size 416 || time: 3.82]
[Epoch 3/150][Iter 30/258][lr 0.001000][Loss: obj 6.99 || cls 2.22 || bbox 8.23 || total 17.44 || size 416 || time: 3.75]
[Epoch 3/150][Iter 40/258][lr 0.001000][Loss: obj 5.56 || cls 2.58 || bbox 6.32 || total 14.45 || size 416 || time: 3.78]
[Epoch 3/150][Iter 50/258][lr 0.001000][Loss: obj 5.72 || cls 1.64 || bbox 5.38 || total 12.73 || size 416 || time: 3.74]
[Epoch 3/150][Iter 60/258][lr 0.001000][Loss: obj 6.28 || cls 2.40 || bbox 7.34 || total 16.03 || size 416 || time: 3.80]
[Epoch 3/150][Iter 70/258][lr 0.001000][Loss: obj 4.92 || cls 1.63 || bbox 6.58 || total 13.13 || size 416 || time: 3.78]
[Epoch 3/150][Iter 80/258][lr 0.001000][Loss: obj 4.66 || cls 1.48 || bbox 5.10 || total 11.24 || size 416 || time: 3.77]
[Epoch 3/150][Iter 90/258][lr 0.001000][Loss: obj 4.38 || cls 1.28 || bbox 5.28 || total 10.93 || size 416 || time: 3.79]
[Epoch 3/150][Iter 100/258][lr 0.001000][Loss: obj 4.76 || cls 1.63 || bbox 5.36 || total 11.76 || size 416 || time: 3.76]
[Epoch 3/150][Iter 110/258][lr 0.001000][Loss: obj 5.31 || cls 2.24 || bbox 6.76 || total 14.31 || size 416 || time: 3.75]
[Epoch 3/150][Iter 120/258][lr 0.001000][Loss: obj 3.78 || cls 1.68 || bbox 4.78 || total 10.24 || size 416 || time: 3.75]
[Epoch 3/150][Iter 130/258][lr 0.001000][Loss: obj 4.70 || cls 1.78 || bbox 6.14 || total 12.62 || size 416 || time: 3.78]
[Epoch 3/150][Iter 140/258][lr 0.001000][Loss: obj 5.13 || cls 1.48 || bbox 6.74 || total 13.35 || size 416 || time: 3.74]
[Epoch 3/150][Iter 150/258][lr 0.001000][Loss: obj 4.96 || cls 1.43 || bbox 5.52 || total 11.91 || size 416 || time: 3.72]
[Epoch 3/150][Iter 160/258][lr 0.001000][Loss: obj 5.73 || cls 1.65 || bbox 7.30 || total 14.68 || size 416 || time: 3.74]
[Epoch 3/150][Iter 170/258][lr 0.001000][Loss: obj 5.30 || cls 1.23 || bbox 5.61 || total 12.13 || size 416 || time: 3.81]
[Epoch 3/150][Iter 180/258][lr 0.001000][Loss: obj 5.15 || cls 2.00 || bbox 7.23 || total 14.38 || size 416 || time: 3.76]
[Epoch 3/150][Iter 190/258][lr 0.001000][Loss: obj 4.67 || cls 1.41 || bbox 5.76 || total 11.84 || size 416 || time: 3.77]
[Epoch 3/150][Iter 200/258][lr 0.001000][Loss: obj 4.20 || cls 1.17 || bbox 4.51 || total 9.87 || size 416 || time: 3.79]
[Epoch 3/150][Iter 210/258][lr 0.001000][Loss: obj 5.11 || cls 1.62 || bbox 6.09 || total 12.81 || size 416 || time: 3.76]
[Epoch 3/150][Iter 220/258][lr 0.001000][Loss: obj 4.58 || cls 1.21 || bbox 5.81 || total 11.61 || size 416 || time: 3.73]
[Epoch 3/150][Iter 230/258][lr 0.001000][Loss: obj 3.72 || cls 1.72 || bbox 5.11 || total 10.56 || size 416 || time: 3.71]
[Epoch 3/150][Iter 240/258][lr 0.001000][Loss: obj 6.12 || cls 1.83 || bbox 6.53 || total 14.49 || size 416 || time: 3.71]
[Epoch 3/150][Iter 250/258][lr 0.001000][Loss: obj 5.29 || cls 1.72 || bbox 5.57 || total 12.57 || size 416 || time: 3.71]
[Epoch 4/150][Iter 0/258][lr 0.001000][Loss: obj 5.17 || cls 1.60 || bbox 6.73 || total 13.51 || size 416 || time: 10.70]
[Epoch 4/150][Iter 10/258][lr 0.001000][Loss: obj 4.93 || cls 1.45 || bbox 5.52 || total 11.90 || size 416 || time: 3.78]
[Epoch 4/150][Iter 20/258][lr 0.001000][Loss: obj 4.76 || cls 1.32 || bbox 5.92 || total 12.01 || size 416 || time: 3.78]
[Epoch 4/150][Iter 30/258][lr 0.001000][Loss: obj 4.72 || cls 1.92 || bbox 6.45 || total 13.09 || size 416 || time: 3.75]
[Epoch 4/150][Iter 40/258][lr 0.001000][Loss: obj 4.67 || cls 1.45 || bbox 5.67 || total 11.79 || size 416 || time: 3.74]
[Epoch 4/150][Iter 50/258][lr 0.001000][Loss: obj 5.44 || cls 1.30 || bbox 5.72 || total 12.46 || size 416 || time: 3.75]
[Epoch 4/150][Iter 60/258][lr 0.001000][Loss: obj 4.81 || cls 1.54 || bbox 5.49 || total 11.85 || size 416 || time: 3.81]
[Epoch 4/150][Iter 70/258][lr 0.001000][Loss: obj 4.54 || cls 1.52 || bbox 5.53 || total 11.59 || size 416 || time: 3.77]
[Epoch 4/150][Iter 80/258][lr 0.001000][Loss: obj 4.89 || cls 1.99 || bbox 6.26 || total 13.15 || size 416 || time: 3.74]
[Epoch 4/150][Iter 90/258][lr 0.001000][Loss: obj 4.64 || cls 1.28 || bbox 5.01 || total 10.92 || size 416 || time: 3.77]
[Epoch 4/150][Iter 100/258][lr 0.001000][Loss: obj 5.27 || cls 1.77 || bbox 7.58 || total 14.62 || size 416 || time: 3.75]
[Epoch 4/150][Iter 110/258][lr 0.001000][Loss: obj 4.28 || cls 1.52 || bbox 5.49 || total 11.30 || size 416 || time: 3.76]
[Epoch 4/150][Iter 120/258][lr 0.001000][Loss: obj 4.06 || cls 1.68 || bbox 5.12 || total 10.85 || size 416 || time: 3.76]
[Epoch 4/150][Iter 130/258][lr 0.001000][Loss: obj 4.41 || cls 1.83 || bbox 5.88 || total 12.11 || size 416 || time: 3.80]
[Epoch 4/150][Iter 140/258][lr 0.001000][Loss: obj 4.58 || cls 1.42 || bbox 5.39 || total 11.39 || size 416 || time: 3.77]
[Epoch 4/150][Iter 150/258][lr 0.001000][Loss: obj 4.35 || cls 1.39 || bbox 5.14 || total 10.88 || size 416 || time: 3.74]
[Epoch 4/150][Iter 160/258][lr 0.001000][Loss: obj 4.45 || cls 1.31 || bbox 5.59 || total 11.35 || size 416 || time: 3.75]
[Epoch 4/150][Iter 170/258][lr 0.001000][Loss: obj 4.52 || cls 1.98 || bbox 6.79 || total 13.29 || size 416 || time: 3.74]
[Epoch 4/150][Iter 180/258][lr 0.001000][Loss: obj 4.44 || cls 1.67 || bbox 5.53 || total 11.64 || size 416 || time: 3.72]
[Epoch 4/150][Iter 190/258][lr 0.001000][Loss: obj 4.63 || cls 1.15 || bbox 4.78 || total 10.57 || size 416 || time: 3.74]
[Epoch 4/150][Iter 200/258][lr 0.001000][Loss: obj 5.77 || cls 1.85 || bbox 6.82 || total 14.44 || size 416 || time: 3.76]
[Epoch 4/150][Iter 210/258][lr 0.001000][Loss: obj 4.92 || cls 1.40 || bbox 5.83 || total 12.15 || size 416 || time: 3.73]
[Epoch 4/150][Iter 220/258][lr 0.001000][Loss: obj 4.54 || cls 1.09 || bbox 5.70 || total 11.34 || size 416 || time: 3.75]
[Epoch 4/150][Iter 230/258][lr 0.001000][Loss: obj 5.94 || cls 1.80 || bbox 7.68 || total 15.42 || size 416 || time: 3.72]
[Epoch 4/150][Iter 240/258][lr 0.001000][Loss: obj 4.13 || cls 1.37 || bbox 5.55 || total 11.05 || size 416 || time: 3.71]
[Epoch 4/150][Iter 250/258][lr 0.001000][Loss: obj 4.02 || cls 1.28 || bbox 4.92 || total 10.22 || size 416 || time: 3.71]
[Epoch 5/150][Iter 0/258][lr 0.001000][Loss: obj 4.43 || cls 1.52 || bbox 5.93 || total 11.88 || size 416 || time: 10.23]
[Epoch 5/150][Iter 10/258][lr 0.001000][Loss: obj 5.06 || cls 1.75 || bbox 7.27 || total 14.08 || size 416 || time: 3.94]
[Epoch 5/150][Iter 20/258][lr 0.001000][Loss: obj 3.81 || cls 1.51 || bbox 5.78 || total 11.10 || size 416 || time: 3.77]
[Epoch 5/150][Iter 30/258][lr 0.001000][Loss: obj 4.36 || cls 1.86 || bbox 5.66 || total 11.89 || size 416 || time: 3.78]
[Epoch 5/150][Iter 40/258][lr 0.001000][Loss: obj 4.14 || cls 1.22 || bbox 5.46 || total 10.83 || size 416 || time: 3.82]
[Epoch 5/150][Iter 50/258][lr 0.001000][Loss: obj 4.23 || cls 1.43 || bbox 5.85 || total 11.51 || size 416 || time: 3.79]
[Epoch 5/150][Iter 60/258][lr 0.001000][Loss: obj 4.33 || cls 1.45 || bbox 5.24 || total 11.02 || size 416 || time: 3.82]
[Epoch 5/150][Iter 70/258][lr 0.001000][Loss: obj 3.78 || cls 1.31 || bbox 5.18 || total 10.27 || size 416 || time: 3.80]
[Epoch 5/150][Iter 80/258][lr 0.001000][Loss: obj 5.52 || cls 1.60 || bbox 6.78 || total 13.89 || size 416 || time: 3.78]
[Epoch 5/150][Iter 90/258][lr 0.001000][Loss: obj 4.21 || cls 1.69 || bbox 5.13 || total 11.04 || size 416 || time: 3.75]
[Epoch 5/150][Iter 100/258][lr 0.001000][Loss: obj 6.00 || cls 1.88 || bbox 7.17 || total 15.05 || size 416 || time: 3.82]
[Epoch 5/150][Iter 110/258][lr 0.001000][Loss: obj 4.63 || cls 1.47 || bbox 6.31 || total 12.41 || size 416 || time: 3.78]
[Epoch 5/150][Iter 120/258][lr 0.001000][Loss: obj 4.59 || cls 1.13 || bbox 4.71 || total 10.42 || size 416 || time: 3.82]
[Epoch 5/150][Iter 130/258][lr 0.001000][Loss: obj 4.11 || cls 1.38 || bbox 6.04 || total 11.53 || size 416 || time: 3.74]
[Epoch 5/150][Iter 140/258][lr 0.001000][Loss: obj 4.36 || cls 1.75 || bbox 5.90 || total 12.01 || size 416 || time: 3.73]
[Epoch 5/150][Iter 150/258][lr 0.001000][Loss: obj 4.90 || cls 1.20 || bbox 5.63 || total 11.74 || size 416 || time: 3.77]
[Epoch 5/150][Iter 160/258][lr 0.001000][Loss: obj 3.75 || cls 1.41 || bbox 5.27 || total 10.43 || size 416 || time: 3.77]
[Epoch 5/150][Iter 170/258][lr 0.001000][Loss: obj 5.43 || cls 1.79 || bbox 6.08 || total 13.30 || size 416 || time: 3.76]
[Epoch 5/150][Iter 180/258][lr 0.001000][Loss: obj 4.64 || cls 1.68 || bbox 5.70 || total 12.02 || size 416 || time: 3.75]
[Epoch 5/150][Iter 190/258][lr 0.001000][Loss: obj 2.90 || cls 1.10 || bbox 4.45 || total 8.45 || size 416 || time: 3.75]
[Epoch 5/150][Iter 200/258][lr 0.001000][Loss: obj 4.45 || cls 1.03 || bbox 5.48 || total 10.96 || size 416 || time: 3.77]
[Epoch 5/150][Iter 210/258][lr 0.001000][Loss: obj 4.25 || cls 1.35 || bbox 4.49 || total 10.09 || size 416 || time: 3.72]
[Epoch 5/150][Iter 220/258][lr 0.001000][Loss: obj 4.84 || cls 1.33 || bbox 5.08 || total 11.25 || size 416 || time: 3.72]
[Epoch 5/150][Iter 230/258][lr 0.001000][Loss: obj 3.91 || cls 0.88 || bbox 4.33 || total 9.11 || size 416 || time: 3.72]
[Epoch 5/150][Iter 240/258][lr 0.001000][Loss: obj 4.05 || cls 1.32 || bbox 4.16 || total 9.53 || size 416 || time: 3.71]
[Epoch 5/150][Iter 250/258][lr 0.001000][Loss: obj 4.93 || cls 1.47 || bbox 6.12 || total 12.52 || size 416 || time: 3.71]
[Epoch 6/150][Iter 0/258][lr 0.001000][Loss: obj 4.08 || cls 0.97 || bbox 5.12 || total 10.17 || size 416 || time: 9.22]
[Epoch 6/150][Iter 10/258][lr 0.001000][Loss: obj 4.11 || cls 1.03 || bbox 5.48 || total 10.62 || size 416 || time: 4.66]
[Epoch 6/150][Iter 20/258][lr 0.001000][Loss: obj 4.16 || cls 1.17 || bbox 4.30 || total 9.64 || size 416 || time: 3.81]
[Epoch 6/150][Iter 30/258][lr 0.001000][Loss: obj 3.85 || cls 0.99 || bbox 5.21 || total 10.05 || size 416 || time: 3.81]
[Epoch 6/150][Iter 40/258][lr 0.001000][Loss: obj 3.75 || cls 1.31 || bbox 5.11 || total 10.17 || size 416 || time: 3.79]
[Epoch 6/150][Iter 50/258][lr 0.001000][Loss: obj 5.57 || cls 1.85 || bbox 7.53 || total 14.95 || size 416 || time: 3.76]
[Epoch 6/150][Iter 60/258][lr 0.001000][Loss: obj 4.17 || cls 1.08 || bbox 4.88 || total 10.14 || size 416 || time: 3.79]
[Epoch 6/150][Iter 70/258][lr 0.001000][Loss: obj 3.93 || cls 1.30 || bbox 5.49 || total 10.72 || size 416 || time: 3.79]
[Epoch 6/150][Iter 80/258][lr 0.001000][Loss: obj 4.28 || cls 1.50 || bbox 6.25 || total 12.03 || size 416 || time: 3.77]
[Epoch 6/150][Iter 90/258][lr 0.001000][Loss: obj 5.14 || cls 1.16 || bbox 5.76 || total 12.06 || size 416 || time: 3.77]
[Epoch 6/150][Iter 100/258][lr 0.001000][Loss: obj 4.84 || cls 1.61 || bbox 5.32 || total 11.77 || size 416 || time: 3.77]
[Epoch 6/150][Iter 110/258][lr 0.001000][Loss: obj 4.23 || cls 1.90 || bbox 6.33 || total 12.46 || size 416 || time: 3.79]
[Epoch 6/150][Iter 120/258][lr 0.001000][Loss: obj 3.44 || cls 1.17 || bbox 4.92 || total 9.52 || size 416 || time: 3.84]
[Epoch 6/150][Iter 130/258][lr 0.001000][Loss: obj 3.36 || cls 1.08 || bbox 3.93 || total 8.37 || size 416 || time: 3.76]
[Epoch 6/150][Iter 140/258][lr 0.001000][Loss: obj 3.91 || cls 1.68 || bbox 5.36 || total 10.95 || size 416 || time: 3.79]
[Epoch 6/150][Iter 150/258][lr 0.001000][Loss: obj 3.90 || cls 1.33 || bbox 3.98 || total 9.21 || size 416 || time: 3.73]
[Epoch 6/150][Iter 160/258][lr 0.001000][Loss: obj 3.92 || cls 0.96 || bbox 4.77 || total 9.65 || size 416 || time: 3.77]
[Epoch 6/150][Iter 170/258][lr 0.001000][Loss: obj 5.17 || cls 1.46 || bbox 7.00 || total 13.63 || size 416 || time: 3.72]
[Epoch 6/150][Iter 180/258][lr 0.001000][Loss: obj 3.15 || cls 0.89 || bbox 4.48 || total 8.52 || size 416 || time: 3.77]
[Epoch 6/150][Iter 190/258][lr 0.001000][Loss: obj 4.74 || cls 1.16 || bbox 4.95 || total 10.85 || size 416 || time: 3.73]
[Epoch 6/150][Iter 200/258][lr 0.001000][Loss: obj 4.37 || cls 1.25 || bbox 5.69 || total 11.30 || size 416 || time: 3.75]
[Epoch 6/150][Iter 210/258][lr 0.001000][Loss: obj 4.71 || cls 2.34 || bbox 7.28 || total 14.32 || size 416 || time: 3.74]
[Epoch 6/150][Iter 220/258][lr 0.001000][Loss: obj 3.72 || cls 1.15 || bbox 5.47 || total 10.34 || size 416 || time: 3.72]
[Epoch 6/150][Iter 230/258][lr 0.001000][Loss: obj 4.31 || cls 1.08 || bbox 4.67 || total 10.06 || size 416 || time: 3.73]
[Epoch 6/150][Iter 240/258][lr 0.001000][Loss: obj 5.12 || cls 1.52 || bbox 6.01 || total 12.65 || size 416 || time: 3.71]
[Epoch 6/150][Iter 250/258][lr 0.001000][Loss: obj 4.69 || cls 1.50 || bbox 6.22 || total 12.41 || size 416 || time: 3.71]
[Epoch 7/150][Iter 0/258][lr 0.001000][Loss: obj 4.82 || cls 1.57 || bbox 6.48 || total 12.87 || size 416 || time: 10.27]
[Epoch 7/150][Iter 10/258][lr 0.001000][Loss: obj 3.75 || cls 1.18 || bbox 5.29 || total 10.23 || size 416 || time: 3.75]
[Epoch 7/150][Iter 20/258][lr 0.001000][Loss: obj 4.66 || cls 1.11 || bbox 5.33 || total 11.11 || size 416 || time: 3.74]
[Epoch 7/150][Iter 30/258][lr 0.001000][Loss: obj 3.71 || cls 1.28 || bbox 4.45 || total 9.43 || size 416 || time: 3.82]
[Epoch 7/150][Iter 40/258][lr 0.001000][Loss: obj 4.04 || cls 1.19 || bbox 5.13 || total 10.37 || size 416 || time: 3.76]
[Epoch 7/150][Iter 50/258][lr 0.001000][Loss: obj 4.64 || cls 1.02 || bbox 6.08 || total 11.74 || size 416 || time: 3.75]
[Epoch 7/150][Iter 60/258][lr 0.001000][Loss: obj 4.12 || cls 1.00 || bbox 5.31 || total 10.43 || size 416 || time: 3.78]
[Epoch 7/150][Iter 70/258][lr 0.001000][Loss: obj 4.00 || cls 1.18 || bbox 5.72 || total 10.90 || size 416 || time: 3.76]
[Epoch 7/150][Iter 80/258][lr 0.001000][Loss: obj 4.83 || cls 1.31 || bbox 6.50 || total 12.64 || size 416 || time: 3.79]
[Epoch 7/150][Iter 90/258][lr 0.001000][Loss: obj 3.74 || cls 1.37 || bbox 5.26 || total 10.36 || size 416 || time: 3.76]
[Epoch 7/150][Iter 100/258][lr 0.001000][Loss: obj 3.91 || cls 1.14 || bbox 5.39 || total 10.43 || size 416 || time: 3.80]
[Epoch 7/150][Iter 110/258][lr 0.001000][Loss: obj 4.52 || cls 1.21 || bbox 5.58 || total 11.31 || size 416 || time: 3.78]
[Epoch 7/150][Iter 120/258][lr 0.001000][Loss: obj 3.64 || cls 0.88 || bbox 3.85 || total 8.37 || size 416 || time: 3.75]
[Epoch 7/150][Iter 130/258][lr 0.001000][Loss: obj 3.43 || cls 0.74 || bbox 5.03 || total 9.20 || size 416 || time: 3.77]
[Epoch 7/150][Iter 140/258][lr 0.001000][Loss: obj 4.87 || cls 1.58 || bbox 5.71 || total 12.16 || size 416 || time: 3.73]
[Epoch 7/150][Iter 150/258][lr 0.001000][Loss: obj 4.69 || cls 1.60 || bbox 6.71 || total 13.01 || size 416 || time: 3.77]
[Epoch 7/150][Iter 160/258][lr 0.001000][Loss: obj 5.06 || cls 1.33 || bbox 6.82 || total 13.21 || size 416 || time: 3.73]
[Epoch 7/150][Iter 170/258][lr 0.001000][Loss: obj 4.17 || cls 0.92 || bbox 4.75 || total 9.84 || size 416 || time: 3.75]
[Epoch 7/150][Iter 180/258][lr 0.001000][Loss: obj 4.87 || cls 1.11 || bbox 5.77 || total 11.76 || size 416 || time: 3.73]
[Epoch 7/150][Iter 190/258][lr 0.001000][Loss: obj 3.30 || cls 0.88 || bbox 4.22 || total 8.40 || size 416 || time: 3.75]
[Epoch 7/150][Iter 200/258][lr 0.001000][Loss: obj 4.05 || cls 1.02 || bbox 4.66 || total 9.74 || size 416 || time: 3.75]
[Epoch 7/150][Iter 210/258][lr 0.001000][Loss: obj 3.18 || cls 0.94 || bbox 4.38 || total 8.51 || size 416 || time: 3.74]
[Epoch 7/150][Iter 220/258][lr 0.001000][Loss: obj 4.97 || cls 1.42 || bbox 6.72 || total 13.11 || size 416 || time: 3.76]
